Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version booster,Booster landing,Date,Time
226,KSC,Ax-2,"~13,000 kg",LEO,Axiom Space,"Success
",F9 B5,Success,21 May 2023,21:37
227,CCSFS,ArabSat 7B,"~4,500 kg",GTO,Arabsat,"Success
",F9 B5,Success,27 May 2023,04:30
228,VSFB,Starlink Group 2-10,"~16,400 kg",LEO,SpaceX,"Success
",F9 B5,Success,31 May 2023,06:02
229,CCSFS,Starlink Group 6-4,"~17,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,4 June 2023,12:20
230,KSC,SpaceX CRS-28,"~9,525 kg",LEO,NASA,"Success
",F9 B5B1077.5,Success,5 June 2023,15:47
231,CCSFS,Starlink Group 5-11,"~16,400 kg",LEO,SpaceX,"Success
",F9 B5,Success,12 June 2023,07:10
232,VSFB,,U,SSO,Various,"Success
",F9 B5,Success,12 June 2023,21:35
233,CCSFS,SATRIA,"~4,580 kg",GTO,PT Pasifik Satelit Nusantara,"Success
",F9 B5B1067.12,Success,18 June 2023,22:21
234,VSFB,Starlink Group 5-7,"~14,500 kg",LEO,SpaceX,"Success
",F9 B5B1075.4,Success,22 June 2023,07:19
235,CCSFS,Starlink Group 5-12,"~17,400 kg",LEO,SpaceX,"Success
",F9 B5,Success,23 June 2023,15:35
236,CCSFS,Euclid,"~2,160 kg",,ESA,"Success
",F9 B5,Success,1 July 2023,15:12
237,VSFB,Starlink Group 5-13,"~14,900 kg",LEO,SpaceX,"Success
",F9 B5B1063.12,Success,7 July 2023,19:29
238,CCSFS,Starlink Group 6-5,"~17,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,10 July 2023,03:58
239,CCSFS,Starlink Group 5-15,"~16,700 kg",LEO,SpaceX,"Success
",F9 B5B1060.16,Success,16 July 2023,03:50
240,VSFB,Starlink Group 6-15,"~12,000 kg",LEO,SpaceX,"Success
",F9 B5,Success,20 July 2023,04:09
241,CCSFS,Starlink Group 6-6,"~17,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,24 July 2023,00:50
242,CCSFS,Starlink Group 6-7,"~17,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,28 July 2023,04:01
243,CCSFS,Galaxy 37,"~5,063 kg",GTO,Intelsat,"Success
",F9 B5,Success,3 August 2023,05:00
244,CCSFS,Starlink Group 6-8,"~17,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,7 August 2023,02:41
245,VSFB,Starlink Group 6-20,"~12,000 kg",LEO,SpaceX,"Success
",F9 B5,Success,8 August 2023,03:57
246,CCSFS,Starlink Group 6-9,"~17,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,11 August 2023,05:17
247,CCSFS,Starlink Group 6-10,"~17,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,17 August 2023,03:36
248,VSFB,Starlink Group 7-1,"~16,800 kg",LEO,SpaceX,"Success
",F9 B5,Success,22 August 2023,09:37
249,KSC,Crew-7,"~13,000 kg",LEO,NASA,"Success
",F9 B5,Success,26 August 2023,07:27
250,CCSFS,Starlink Group 6-11,"~17,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,27 August 2023,01:05
